name,address,city,state,zipcode,lat,lon
HoneyGrove,"1337 Blackwood-Clementon Rd, Clementon, NJ 08021",Clementon,NJ,08021,39.803582,-75.033198
Illicit Gardens Dispensary Secaucus,"30 Wood Ave, Secaucus, NJ 07094",Secaucus,NJ,07094,40.797098,-74.062936
Monmouth Wellness & Healing (Formerly NJ Leaf),"546 Park Ave, Freehold, NJ 07728",Freehold,NJ,07728,40.249726,-74.272084
Monteverde NJ,"45 Bridge Ave, Red Bank, NJ 07701",Red Bank,NJ,07701,40.352625,-74.075189
MPX NJ,"153 S New York Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.359124,-74.427464
MPX NJ,"5035 Central Hwy, Pennsauken Township, NJ 08109",Pennsauken Township,NJ,08109,39.929933,-75.07237
MPX NJ,"581 Berlin - Cross Keys Rd, Sicklerville, NJ 08081",Sicklerville,NJ,08081,39.830008,-74.997083
NJ Leaf North Brunswick (Formerly Garden State Botanicals),"1345 US-1, North Brunswick Township, NJ 08902",North Brunswick Township,NJ,08902,40.537321,-74.342509
Restore NJ,"300 William Dalton Dr, Glassboro, NJ 08028",Glassboro,NJ,08028,39.719178,-75.109843
RIPT,"220 Broadway, Jersey City, NJ 07306",Jersey City,NJ,07306,40.738166,-74.077549
RISE,"145 Rte 4, Paramus, NJ 07652",Paramus,NJ,07652,40.917512,-74.059437
RISE,"196 3rd Ave 3 c, Paterson, NJ 07514",Paterson,NJ,07514,40.936481,-74.143541
RISE,"26-48 Bloomfield Ave, Bloomfield, NJ 07003",Bloomfield,NJ,07003,40.775373,-74.186893
Roots Dispensary,"4402 US-130, Willingboro, NJ 08046",Willingboro,NJ,08046,40.055743,-74.888213
Sanctuary Cannabis,"2581 US-22, Scotch Plains, NJ 07076",Scotch Plains,NJ,07076,40.665797,-74.385615
SilverLeaf Wellness,"1743 NJ-27, Somerset, NJ 08873",Somerset,NJ,08873,40.461167,-74.507571
Sweet Spot,"903 White Horse Rd, Voorhees Township, NJ 08043",Voorhees Township,NJ,08043,39.848882,-74.988076
The Botanist,"2090 N Black Horse Pike, Williamstown, NJ 08094",Williamstown,NJ,08094,39.719485,-75.022002
The Botanist,"35 W Crescent Blvd, Collingswood, NJ 08108",Collingswood,NJ,08108,39.921812,-75.087145
The Botanist,"100 Century Dr, Egg Harbor Township, NJ 08234",Egg Harbor Township,NJ,08234,39.419494,-74.553976
The Cannabist,"4476 Black Horse Pike Suite 2, Mays Landing, NJ 08330",Mays Landing,NJ,08330,39.452012,-74.650009
The Cannabist,"1062 N Delsea Dr, Vineland, NJ 08360",Vineland,NJ,08360,39.502719,-75.042321
The Cannabist,"1692 Clements Bridge Rd, Deptford, NJ 08096",Deptford,NJ,08096,39.833533,-75.102355
The Station,"86 River St, Hoboken, NJ 07030",Hoboken,NJ,07030,40.736333,-74.029255
Theo A. Cannabis,"3059 NJ-27 unit 104, Franklin Park, NJ 08823",Franklin Park,NJ,08823,40.441734,-74.530924
Theory Wellness,"461 New York Ave, Trenton, NJ 08638",Trenton,NJ,08638,40.23422,-74.751026
Toke Lane Cannabis Dispensary,"226 S Broad St, Trenton, NJ 08608",Trenton,NJ,08608,40.216035,-74.761812
URBâ€™N Dispensary,"378 South St, Newark, NJ 07105",Newark,NJ,07105,40.718753,-74.161512
Valley Wellness,"407 US-202, Raritan, NJ 08869",Raritan,NJ,08869,40.573984,-74.6342
Zen Leaf,"NJ-66, Neptune Township, NJ",Neptune Township,NJ,,40.230248,-74.060519
Zen Leaf,"117 Spring St, Elizabeth, NJ 07201",Elizabeth,NJ,07201,40.663541,-74.205915
Zen Leaf,"3256 Brunswick Pike, Lawrence Township, NJ 08648",Lawrence Township,NJ,08648,40.290303,-74.686836
